attempt,status,started_at_utc,response_latency_ms,usage_source,input_tokens_including_cached,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,context_total_tokens,cli_total_excluding_cached,cli_total_source,quota_attribution,response_text_sha256
r1,valid,2026-08-14T13:59:44.860Z,3657,event-log,13950,5888,8062,14,0,13964,8076,derived-from-event-log,contaminated,a65de25805112fa8bd31c0c30da9bea5ea4aa2fc5d941085342fc4b23396a2c5
r2,valid,2026-08-14T14:15:44.444Z,3561,event-log-and-exit-ui,13950,0,13950,13,0,13963,13963,exit-ui-and-event-log,contaminated,7593aeef1de17322b17d5269f97dcf539bbc1ab3b6ca34368df176103cccd15f
r3,valid,2026-08-14T14:42:50.835Z,3308,event-log-and-exit-ui,13950,9984,3966,14,0,13964,3980,exit-ui-and-event-log,not_measured,a65de25805112fa8bd31c0c30da9bea5ea4aa2fc5d941085342fc4b23396a2c5
